date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:26	201760/201760	---M-Z	200	added ('OK')	text/html	etag:%22985b-6029339478971%22	https://www.supersim.com.br/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/index.html	(from )
13:58:26	271/271	---MCZ	200	added ('OK')	text/plain	etag:W/%22286-5ca7ad6fc07ed%22	https://www.supersim.com.br/robots.txt		(from )
13:58:26	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2010%20Aug%202023%2016:58:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.googletagmanager.com/gtm.05445.delayed	(from https://www.supersim.com.br/)
13:58:27	291/291	---M-Z	200	added ('OK')	text/css	etag:%22123-60139224d9a91-gzip%22	https://www.supersim.com.br/addon/css/classic-themes.min.css?ver=2c5d9cfc92d902b04c6448c50e95d1af	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/addon/css/classic-themes.min93c0.css	(from https://www.supersim.com.br/)
13:58:27	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2010%20Aug%202023%2016:58:27%20GMT	http://www.supersim.com.br/extension/wp-hide-security-enhancer/assets/js/devtools-detect.js?ver=2c5d9cfc92d902b04c6448c50e95d1af	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/extension/wp-hide-security-enhancer/assets/js/devtools-detect.293c0.delayed	(from https://www.supersim.com.br/)
13:58:28	1439/1439	---M-Z	200	added ('OK')	application/x-javascript	etag:%2259f-600d65e96a70b-gzip%22	https://www.supersim.com.br/extension/wp-hide-security-enhancer/assets/js/devtools-detect.js?ver=2c5d9cfc92d902b04c6448c50e95d1af	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/extension/wp-hide-security-enhancer/assets/js/devtools-detect93c0.js	(from https://www.supersim.com.br/)
13:58:31	142536/142536	---M-Z	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2016:58:28%20GMT	https://www.supersim.com.br/?amp	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/index162c.html	(from https://www.supersim.com.br/)
13:58:32	488/488	---M--	200	added ('OK')	image/png	etag:%221e8-5b83af7f86538%22	https://www.supersim.com.br/media/2021/01/favicon.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2021/01/favicon.png	(from https://www.supersim.com.br/)
13:58:32	32026/32026	---M--	200	added ('OK')	image/png	etag:%227d1a-5c20c53919840%22	https://www.supersim.com.br/skin/image/header-emprestimo-com-garantia.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/skin/image/header-emprestimo-com-garantia.png	(from https://www.supersim.com.br/)
13:58:32	40868/40868	---M--	200	added ('OK')	image/png	etag:%229fa4-5c20c53919840%22	https://www.supersim.com.br/skin/image/header-emprestimo-sem-garantia.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/skin/image/header-emprestimo-sem-garantia.png	(from https://www.supersim.com.br/)
13:58:33	12055/12055	---M--	200	added ('OK')	image/png	etag:%222f17-5c20c53919840%22	https://www.supersim.com.br/skin/image/header-emprestimo-com-garantia-small.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/skin/image/header-emprestimo-com-garantia-small.png	(from https://www.supersim.com.br/)
13:58:34	14344/14344	---M--	200	added ('OK')	image/png	etag:%223808-5c20c53919840%22	https://www.supersim.com.br/skin/image/header-emprestimo-sem-garantia-small.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/skin/image/header-emprestimo-sem-garantia-small.png	(from https://www.supersim.com.br/)
